iter	Passed	Remaining
0	38	38802
1	71	35904
2	107	35628
3	141	35116
4	172	34415
5	204	33942
6	239	34014
7	272	33759
8	303	33441
9	336	33362
10	371	33426
11	402	33172
12	437	33226
13	469	33052
14	501	32964
15	534	32843
16	566	32763
17	598	32654
18	633	32699
19	667	32689
20	701	32681
21	733	32623
22	767	32599
23	798	32472
24	828	32308
25	859	32207
26	892	32170
27	925	32119
28	959	32113
29	992	32079
30	1023	31986
31	1057	31988
32	1092	32006
33	1125	31980
34	1157	31926
35	1192	31943
36	1223	31838
37	1255	31788
38	1287	31713
39	1320	31697
40	1356	31730
41	1389	31688
42	1423	31675
43	1456	31651
44	1490	31641
45	1526	31661
46	1559	31614
47	1590	31538
48	1621	31460
49	1653	31409
50	1689	31429
51	1720	31367
52	1753	31334
53	1784	31264
54	1816	31213
55	1849	31177
56	1882	31145
57	1928	31317
58	1960	31269
59	1993	31224
60	2023	31146
61	2058	31136
62	2089	31071
63	2119	30994
64	2151	30953
65	2184	30913
66	2216	30859
67	2248	30820
68	2281	30788
69	2313	30741
70	2346	30707
71	2379	30664
72	2411	30616
73	2444	30589
74	2478	30566
75	2511	30539
76	2543	30486
77	2576	30451
78	2608	30409
79	2641	30372
80	2674	30345
81	2709	30336
82	2741	30285
83	2773	30245
84	2805	30199
85	2840	30188
86	2875	30177
87	2908	30139
88	2941	30109
89	2973	30062
90	3005	30020
91	3038	29992
92	3073	29970
93	3108	29960
94	3140	29918
95	3173	29886
96	3206	29847
97	3241	29836
98	3271	29775
99	3305	29751
100	3338	29715
101	3371	29684
102	3405	29660
103	3437	29619
104	3470	29578
105	3502	29538
106	3535	29503
107	3568	29469
108	3598	29411
109	3630	29374
110	3662	29333
111	3693	29285
112	3729	29272
113	3760	29227
114	3794	29204
115	3826	29163
116	3860	29131
117	3893	29105
118	3925	29059
119	3957	29023
120	3990	28986
121	4021	28938
122	4050	28880
123	4081	28832
124	4115	28809
125	4150	28788
126	4181	28746
127	4214	28710
128	4247	28680
129	4278	28634
130	4310	28595
131	4342	28555
132	4375	28522
133	4408	28491
134	4439	28446
135	4475	28431
136	4509	28405
137	4542	28374
138	4573	28329
139	4608	28310
140	4639	28267
141	4673	28241
142	4705	28199
143	4737	28163
144	4772	28142
145	4806	28114
146	4837	28071
147	4870	28037
148	4902	27997
149	4933	27955
150	4963	27908
151	4997	27882
152	5030	27849
153	5064	27821
154	5095	27778
155	5127	27738
156	5162	27718
157	5194	27684
158	5225	27638
159	5255	27593
160	5288	27556
161	5321	27529
162	5354	27496
163	5386	27460
164	5422	27442
165	5456	27412
166	5488	27375
167	5520	27339
168	5547	27279
169	5579	27242
170	5611	27205
171	5644	27173
172	5677	27138
173	5709	27104
174	5740	27063
175	5774	27035
176	5806	26998
177	5838	26960
178	5869	26922
179	5903	26893
180	5936	26861
181	5970	26836
182	6004	26806
183	6037	26773
184	6068	26735
185	6100	26698
186	6134	26668
187	6164	26627
188	6196	26588
189	6229	26558
190	6260	26515
191	6294	26487
192	6325	26450
193	6358	26416
194	6393	26393
195	6424	26355
196	6457	26319
197	6484	26267
198	6517	26233
199	6554	26218
200	6587	26184
201	6618	26147
202	6652	26117
203	6683	26078
204	6715	26041
205	6746	26004
206	6779	25970
207	6814	25947
208	6846	25911
209	6878	25878
210	6912	25846
211	6944	25811
212	6979	25786
213	7012	25756
214	7043	25717
215	7075	25681
216	7109	25653
217	7142	25620
218	7176	25593
219	7211	25569
220	7242	25530
221	7275	25496
222	7310	25473
223	7342	25437
224	7378	25414
225	7410	25379
226	7443	25348
227	7474	25308
228	7507	25275
229	7539	25242
230	7571	25204
231	7601	25165
232	7634	25130
233	7667	25098
234	7699	25064
235	7734	25039
236	7767	25006
237	7799	24972
238	7832	24939
239	7867	24914
240	7899	24879
241	7932	24845
242	7964	24811
243	7995	24773
244	8027	24739
245	8062	24710
246	8093	24673
247	8125	24638
248	8160	24612
249	8190	24571
250	8223	24540
251	8257	24510
252	8289	24475
253	8321	24441
254	8355	24410
255	8389	24381
256	8421	24346
257	8454	24316
258	8488	24285
259	8520	24250
260	8552	24216
261	8584	24179
262	8614	24141
263	8647	24107
264	8683	24084
265	8717	24053
266	8748	24017
267	8781	23985
268	8815	23955
269	8848	23924
270	8882	23893
271	8913	23856
272	8944	23819
273	8977	23787
274	9009	23751
275	9040	23715
276	9072	23679
277	9102	23639
278	9134	23604
279	9166	23570
280	9199	23538
281	9232	23506
282	9264	23472
283	9296	23437
284	9327	23400
285	9359	23366
286	9393	23335
287	9424	23300
288	9456	23266
289	9489	23233
290	9522	23200
291	9560	23181
292	9594	23150
293	9628	23120
294	9663	23093
295	9696	23061
296	9729	23030
297	9761	22994
298	9795	22964
299	9827	22931
300	9860	22899
301	9893	22867
302	9925	22832
303	9958	22798
304	9991	22766
305	10023	22732
306	10055	22699
307	10088	22665
308	10122	22636
309	10155	22604
310	10187	22570
311	10219	22535
312	10252	22502
